Pilka nozna	W którym roku Polska zdobyła mistrzostwo olimpijskie w piłce nożnej?	1952	1960	1972	1976
Pilka nozna	Kto jest najdroższym polskim piłkarzem w historii?	Robert Lewandowski	Arkadiusz Milik	Grzegorz Krychowiak	Jerzy Dudek
Pilka nozna	Jaki wynik w dwumeczu osiągnęła Legia Warszawa w Lidze Mistrzów w sezonie 2016/17 rywalizując z Realem Madryt?	4-8	1-5	3-3	2-6
Pilka nozna	Która drużyna jest najbardziej utytułowanym klubem w Anglii (łączna liczba trofeów)?	Manchester United	Liverpool FC	Arsenal Londym	Chelsea Londyn
Pilka nozna	Kto jest najdroższym piłkarzem w historii?	Cristiano Ronaldo	Neymar Jr	Paul Pogba	Lionel Messi
Pilka nozna	W którym roku odbyła się pierwsza kolejka Polskiej Ligi Piłki Nożnej?	1925	1927	1945	1946
Pilka nozna	Inter Mediolan, Real Madryt, FC Barcelona, PSV Eindhoven, AC Milan. Kto występował w tych wszystkich klubach?	Ronaldo	Zlatan Ibrahimovic	Johan Cruyf 	Marco van Basten
Pilka nozna	Która drużyna najwięcej razy (5) wygrała Ligę Europy (poprzednio Puchar UEFA)?	Inter Mediolan	Juventus Turyn	Real Madryt	Sevilla FC
Pilka nozna	Kto jest obecnym mistrzem świata?	Niemiec	Argentyny	Brazyli 	Włoch
Pilka nozna	Kto był pierwszym zwycięzcą Złotej Piłki?	Alfredi di Stefano	Ferenc Puskas	Stanley Matthews	Raymond Kopaszewski
Biologia	W którym wieku została wymyślona nazwa dziedziny nauki "biologia"	XIII	XV	XIX	XVII
Biologia	Jaki nukleotyd łączy się z tyminą?	 adenina	cytozyna 	guanina	adrenalina
Biologia	W jaki sposób rozmnażają się drożdże?	przez pączkowanie	przez regenerację	poprzez zarodniki	poprzez podział komórki
Biologia	Ile u człowieka występuje nerwów rdzeniowych?	39 par	31 par	65 par	44 pary
Biologia	Jak nazywa się najmniejsza jednostka budulcowa i funkcjonalna organizmu?	nerw	bakteria	mitochondrium	komórka
Biologia	Jaki proces przeprowadzany jest przez rośliny zielone w celu uzyskania pokarmu?	eagulacja	fotosynteza	chemosynteza	rozmnażanie
Biologia	Do jakiego królestwa należą organizmy nieposiadające jądra komurkowego?	grzybów	roślin	bakteri	protistów
Biologia	Czym jest plazmoliza?	utratą wody przez cytoplazme	nadmiarem wody w cytoplaźmie	transpiracją	podziałem komórki
